direction,direction_zh,query,title,year,authors,venue,doi,url,abstract,citation_count,source_database,open_access_pdf,raw_id,duplicate_count,duplicate_sources,duplicate_queries,direction_labels,direction_names,matched_query,cited_by_count,source
A|E,碳化固废辅助胶凝材料|超重力碳化固废,"""carbonated slag"" cementitious material|""high gravity"" carbonation steel slag|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""steel slag"" ""CO2 mineralization""",High-gravity intensified carbonation of larger steel slag particles: Dual-path CO2 mineralization and valorization in sustainable construction materials,2025,Qifeng Song; Xinduo Li; Baojian Zhan; Tung-Chai Ling,Journal of Environmental Chemical Engineering,10.1016/j.jece.2025.117004,https://www.semanticscholar.org/paper/e855644624ce394da865c3f41628f2b86ec70490,unclear,10,Semantic Scholar,unclear,e855644624ce394da865c3f41628f2b86ec70490,6,OpenAlex|Semantic Scholar,"""carbonated slag"" cementitious material|""high gravity"" carbonation steel slag|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""steel slag"" ""CO2 mineralization""",A|E,碳化固废辅助胶凝材料|超重力碳化固废,"""carbonated slag"" cementitious material|""high gravity"" carbonation steel slag|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""steel slag"" ""CO2 mineralization""",10,Semantic Scholar
A|F,旋转填充床与传质强化|超重力碳化固废,"""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation",Carbonation of steel slag,2023,Abdel‐Mohsen O. Mohamed; Maisa El Gamal; Suhaib M. Hameedi; Evan K. Paleologos,Elsevier eBooks,10.1016/b978-0-12-823418-1.00008-1,https://doi.org/10.1016/b978-0-12-823418-1.00008-1,unclear,5,OpenAlex,unclear,https://openalex.org/W4317498909,4,OpenAlex,"""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation",A|F,旋转填充床与传质强化|超重力碳化固废,"""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation",5,OpenAlex
A|F,旋转填充床与传质强化|超重力碳化固废,"""high gravity technology"" carbonation|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""rotating packed bed"" carbonation steel slag",Optimization of BOFS high-gravity carbonation technology: Consideration of theoretical guidance for up-scaling applications,2024,Qifeng Song; Ming-Zhi Guo; Mingyang Zhang; Tung‐Chai Ling,Journal of Cleaner Production,10.1016/j.jclepro.2024.143214,https://doi.org/10.1016/j.jclepro.2024.143214,unclear,6,OpenAlex,unclear,https://openalex.org/W4401002408,4,OpenAlex|Semantic Scholar,"""high gravity technology"" carbonation|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""rotating packed bed"" carbonation steel slag",A|F,旋转填充床与传质强化|超重力碳化固废,"""high gravity technology"" carbonation|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""rotating packed bed"" carbonation steel slag",6,OpenAlex
A,超重力碳化固废,"""high gravity"" carbonation steel slag|""high-gravity carbonation"" steel slag",Carbonation technologies,2023,Abdel‐Mohsen O. Mohamed; Maisa El Gamal; Suhaib M. Hameedi; Evan K. Paleologos,Elsevier eBooks,10.1016/b978-0-12-823418-1.00014-7,https://doi.org/10.1016/b978-0-12-823418-1.00014-7,unclear,3,OpenAlex,unclear,https://openalex.org/W4317498401,2,OpenAlex,"""high gravity"" carbonation steel slag|""high-gravity carbonation"" steel slag",A,超重力碳化固废,"""high gravity"" carbonation steel slag|""high-gravity carbonation"" steel slag",3,OpenAlex
A,超重力碳化固废,"""high gravity"" carbonation steel slag|""high-gravity carbonation"" steel slag",System Optimization,2017,Pen‐Chi Chiang; Shu-Yuan Pan,unclear,10.1007/978-981-10-3268-4_19,https://doi.org/10.1007/978-981-10-3268-4_19,unclear,3,OpenAlex,unclear,https://openalex.org/W4246643926,2,OpenAlex,"""high gravity"" carbonation steel slag|""high-gravity carbonation"" steel slag",A,超重力碳化固废,"""high gravity"" carbonation steel slag|""high-gravity carbonation"" steel slag",3,OpenAlex
A|E|F,旋转填充床与传质强化|碳化固废辅助胶凝材料|超重力碳化固废,"""carbonated slag"" cementitious material|""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""rotating packed bed"" reactive crystallization|""solid waste"" ""accelerated carbonation"" slag",CO2 Capture by Accelerated Carbonation of Alkaline Wastes: A Review on Its Principles and Applications,2012,Shu-Yuan Pan; E. E. Chang; Pen‐Chi Chiang,Aerosol and Air Quality Research,10.4209/aaqr.2012.06.0149,https://doi.org/10.4209/aaqr.2012.06.0149,"CO2 capture, utilization, and storage (CCUS) is a promising technology wherein CO2 is captured and stored in solid form for further utilization instead of being released into the atmosphere in high concentrations. Under this framework, a new process called accelerated carbonation has been widely researched and developed. In this process, alkaline materials are reacted with high-purity CO2 in the presence of moisture to accelerate the reaction to a timescale of a few minutes or hours. The feedstock for accelerated carbonation includes natural silicate-minerals (e.g., wollastonite, serpentine, and olivine) and industrial residues (e.g., steelmaking slag, municipal solid waste incinerator (MSWI) ash, and air pollution control (APC) residues). This research article focuses on carbonation technologies that use industrial alkaline wastes, such as steelmaking slags and metalworking wastewater. The carbonation of alkaline solid waste has been shown to be an effective way to capture CO2 and to eliminate the contents of Ca(OH)2 in solid residues, thus improving the durability of concrete blended with the carbonated residues. However, the operating conditions must be further studied for both the economic viability of the technology and the optimal conditions for CO2 reaction.",428,OpenAlex,https://aaqr.org/articles/aaqr-12-06-ir-0149.pdf,https://openalex.org/W2101177632,12,OpenAlex,"""carbonated slag"" cementitious material|""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""rotating packed bed"" reactive crystallization|""solid waste"" ""accelerated carbonation"" slag",A|E|F,旋转填充床与传质强化|碳化固废辅助胶凝材料|超重力碳化固废,"""carbonated slag"" cementitious material|""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""rotating packed bed"" reactive crystallization|""solid waste"" ""accelerated carbonation"" slag",428,OpenAlex
A|D|E|F,CO2养护与碳化混凝土|旋转填充床与传质强化|碳化固废辅助胶凝材料|超重力碳化固废,"""BOF slag"" ""CO2 sequestration""|""CO2 sequestration"" concrete curing|""accelerated carbonation curing"" concrete|""carbonated slag"" cementitious material|""carbonated steel slag"" ""supplementary cementitious material""|""carbonation curing"" concrete strength|""carbonation curing"" recycled aggregate concrete|""early age carbonation"" cement paste|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""mineral carbonation"" ""cement replacement""|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""solid waste"" ""accelerated carbonation"" slag",An overview of utilizing CO2 for accelerated carbonation treatment in the concrete industry,2022,Liang Li; Min Wu,Journal of CO2 Utilization,10.1016/j.jcou.2022.102000,https://doi.org/10.1016/j.jcou.2022.102000,"Accelerated carbonation treatment as an effective approach of reducing the carbon footprint in the concrete industry is being investigated extensively. Such carbonation treatment converts gaseous CO2 into carbonate minerals (or mineral CO2 sequestration). The present review provided a state-of-the-art summary on the relevant carbonation strategies that have been investigated, with a special focus on identifying the remaining industrial challenges and critical research gaps that need further investigation. Key parameters affecting pre-carbonation treatments of recycled concrete aggregates, fly ash, and slag were examined systematically, including chemical compositions and particle sizes of the materials, temperature, pressure, and CO2 concentration. The CO2 uptake capacity and efficiency of the materials were compared with each other, and the environmental impact of pre-carbonation treatment of fly ash and slag was approximated. After carbonation treatment, the incorporation of those carbonated materials in cement-based composites was assessed. It was found that the rising CO2 uptake of ingredient materials subjected to pre-carbonation treatment does not necessarily benefit the mechanical properties of the cement-based composites with the carbonated materials. For a specific material, there may exist a CO2 uptake threshold over which high CO2 uptake tends to be deleterious, e.g. for the mechanical properties. In terms of the influence of accelerated carbonation curing on the compressive strength of cement-based composites at early ages, both positive and negative influences were identified. Corresponding mechanisms behind such contrary influences were critically discussed. It was noted that over-intensified early-age carbonation curing could compromise the strength properties of cement-based composites both in the short and long terms.",258,OpenAlex,unclear,https://openalex.org/W4226217790,18,OpenAlex,"""BOF slag"" ""CO2 sequestration""|""CO2 sequestration"" concrete curing|""accelerated carbonation curing"" concrete|""carbonated slag"" cementitious material|""carbonated steel slag"" ""supplementary cementitious material""|""carbonation curing"" concrete strength|""carbonation curing"" recycled aggregate concrete|""early age carbonation"" cement paste|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""mineral carbonation"" ""cement replacement""|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""solid waste"" ""accelerated carbonation"" slag",A|D|E|F,CO2养护与碳化混凝土|旋转填充床与传质强化|碳化固废辅助胶凝材料|超重力碳化固废,"""BOF slag"" ""CO2 sequestration""|""CO2 sequestration"" concrete curing|""accelerated carbonation curing"" concrete|""carbonated slag"" cementitious material|""carbonated steel slag"" ""supplementary cementitious material""|""carbonation curing"" concrete strength|""carbonation curing"" recycled aggregate concrete|""early age carbonation"" cement paste|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""mineral carbonation"" ""cement replacement""|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""solid waste"" ""accelerated carbonation"" slag",258,OpenAlex
A|E|F,旋转填充床与传质强化|碳化固废辅助胶凝材料|超重力碳化固废,"""carbonated slag"" cementitious material|""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""high-gravity carbonation"" steel slag|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""solid waste"" ""accelerated carbonation"" slag|""steel slag"" ""CO2 mineralization""",CO2 Mineralization and Utilization using Steel Slag for Establishing a Waste-to-Resource Supply Chain,2017,Shu-Yuan Pan; Tai-Chun Chung; Chang-Ching Ho; Chin-Jen Hou; Yi‐Hung Chen; Pen‐Chi Chiang,Scientific Reports,10.1038/s41598-017-17648-9,https://doi.org/10.1038/s41598-017-17648-9,"Abstract Both steelmaking via an electric arc furnace and manufacturing of portland cement are energy-intensive and resource-exploiting processes, with great amounts of carbon dioxide (CO 2 ) emission and alkaline solid waste generation. In fact, most CO 2 capture and storage technologies are currently too expensive to be widely applied in industries. Moreover, proper stabilization prior to utilization of electric arc furnace slag are still challenging due to its high alkalinity, heavy metal leaching potentials and volume instability. Here we deploy an integrated approach to mineralizing flue gas CO 2 using electric arc furnace slag while utilizing the reacted product as supplementary cementitious materials to establish a waste-to-resource supply chain toward a circular economy. We found that the flue gas CO 2 was rapidly mineralized into calcite precipitates using electric arc furnace slag. The carbonated slag can be successfully utilized as green construction materials in blended cement mortar. By this modulus, the global CO 2 reduction potential using iron and steel slags was estimated to be ~138 million tons per year.",161,OpenAlex,https://www.nature.com/articles/s41598-017-17648-9.pdf,https://openalex.org/W2775687667,13,OpenAlex|Semantic Scholar,"""carbonated slag"" cementitious material|""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""high-gravity carbonation"" steel slag|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""solid waste"" ""accelerated carbonation"" slag|""steel slag"" ""CO2 mineralization""",A|E|F,旋转填充床与传质强化|碳化固废辅助胶凝材料|超重力碳化固废,"""carbonated slag"" cementitious material|""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""high-gravity carbonation"" steel slag|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""solid waste"" ""accelerated carbonation"" slag|""steel slag"" ""CO2 mineralization""",161,OpenAlex
A|D|F,CO2养护与碳化混凝土|旋转填充床与传质强化|超重力碳化固废,"""CO2 curing"" cementitious materials|""carbonation curing"" recycled aggregate concrete|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""high-gravity carbonation"" steel slag|""steel slag"" ""CO2 mineralization""",Limits to Paris compatibility of CO2 capture and utilization,2022,Kiane de Kleijne; Steef V. Hanssen; Lester van Dinteren; Mark A. J. Huijbregts; Rosalie van Zelm; Heleen de Coninck,One Earth,10.1016/j.oneear.2022.01.006,https://doi.org/10.1016/j.oneear.2022.01.006,unclear,184,OpenAlex,http://www.cell.com/article/S2590332222000446/pdf,https://openalex.org/W4213048593,7,OpenAlex,"""CO2 curing"" cementitious materials|""carbonation curing"" recycled aggregate concrete|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""high-gravity carbonation"" steel slag|""steel slag"" ""CO2 mineralization""",A|D|F,CO2养护与碳化混凝土|旋转填充床与传质强化|超重力碳化固废,"""CO2 curing"" cementitious materials|""carbonation curing"" recycled aggregate concrete|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""high-gravity carbonation"" steel slag|""steel slag"" ""CO2 mineralization""",184,OpenAlex
A|F,旋转填充床与传质强化|超重力碳化固废,"""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""solid waste"" ""accelerated carbonation"" slag|""steel slag"" ""CO2 mineralization""",Elucidating the differences in the carbon mineralization behaviors of calcium and magnesium bearing alumino-silicates and magnesium silicates for CO2 storage,2020,Greeshma Gadikota; Juerg Matter; P. B. Kelemen; Patrick V. Brady; Ah‐Hyung Alissa Park,Fuel,10.1016/j.fuel.2020.117900,https://doi.org/10.1016/j.fuel.2020.117900,unclear,118,OpenAlex,https://www.sciencedirect.com/science/article/am/pii/S0016236120308966?via%3Dihub,https://openalex.org/W3033575368,9,OpenAlex,"""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""solid waste"" ""accelerated carbonation"" slag|""steel slag"" ""CO2 mineralization""",A|F,旋转填充床与传质强化|超重力碳化固废,"""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""solid waste"" ""accelerated carbonation"" slag|""steel slag"" ""CO2 mineralization""",118,OpenAlex
A|D,CO2养护与碳化混凝土|超重力碳化固废,"""carbonation curing"" recycled aggregate concrete|""early age carbonation"" cement paste|""high gravity"" carbonation steel slag|""high-gravity carbonation"" steel slag",Optimal Pre-hydration Age for CO<sub>2</sub> Sequestration through Portland Cement Carbonation,2018,Duo Zhang; Victor C. Li; Brian R. Ellis,ACS Sustainable Chemistry & Engineering,10.1021/acssuschemeng.8b03699,https://doi.org/10.1021/acssuschemeng.8b03699,"An emerging technology of CO2 sequestration in Portland cement (PC) is through accelerated carbonation, where PC is intentionally carbonated at early hydration age and reinitiates long-term hydration upon completion of carbonation. However, the current literature has overlooked a fact that different PC hydration ages prior to carbonation (pre-hydration) could lead to distinct carbonation efficiencies and subsequent hydration behaviors (post-hydration). Here, we examine the effects of length of pre-hydration period on CO2 uptake and on the hydration extent and final strength at 28 days. The CO2 and H2O profiles in the carbonated PC were examined with thermogravimetric analysis/derivative thermogravimetric analysis. The pre-hydration path was traced with isothermal calorimetry. Experimental results suggested that extension of pre-hydration decreased CO2 uptake, but enhanced the extent of PC hydration at 28 days. It was found that a pre-hydration beyond the late deceleration period of PC hydration (where heat generation is slowing down) led to a higher hydrate content of cement paste, hence forming a higher compressive strength of mortar compared to the noncarbonated benchmarks at 28 days. The lesser carbonation-induced water loss and the nucleation seeding enabled by calcium carbonate are likely responsible for this effect. The finding reported here should be useful for fine-tuning PC carbonation process for CO2 sequestration in concrete.",93,OpenAlex,https://www.osti.gov/servlets/purl/1990025,https://openalex.org/W2899135423,4,OpenAlex,"""carbonation curing"" recycled aggregate concrete|""early age carbonation"" cement paste|""high gravity"" carbonation steel slag|""high-gravity carbonation"" steel slag",A|D,CO2养护与碳化混凝土|超重力碳化固废,"""carbonation curing"" recycled aggregate concrete|""early age carbonation"" cement paste|""high gravity"" carbonation steel slag|""high-gravity carbonation"" steel slag",93,OpenAlex
A|E,碳化固废辅助胶凝材料|超重力碳化固废,"""carbonated steel slag"" ""supplementary cementitious material""|""high gravity"" carbonation steel slag|""high-gravity carbonation"" ""BOF slag""|""high-gravity carbonation"" steel slag",A Review of the Influence of Steel Furnace Slag Type on the Properties of Cementitious Composites,2020,Alexander S. Brand; Ebenezer O. Fanijo,Applied Sciences,10.3390/app10228210,https://doi.org/10.3390/app10228210,"The type of steel furnace slag (SFS), including electric arc furnace (EAF) slag, basic oxygen furnace (BOF) slag, ladle metallurgy furnace (LMF) slag, and argon oxygen decarburization (AOD) slag, can significantly affect the composite properties when used as an aggregate or as a supplementary cementitious material in bound applications, such as concretes, mortars, alkali-activated materials, and stabilized soils. This review seeks to collate the findings from the literature to express the variability in material properties and to attempt to explain the source(s) of the variability. It was found that SFS composition and properties can be highly variable, including different compositions on the exterior and interior of a given SFS particle, which can affect bonding conditions and be one source of variability on composite properties. A suite of tests is proposed to better assess a given SFS stock for potential use in bound applications; at a minimum, the SFS should be evaluated for free CaO content, expansion potential, mineralogical composition, cementitious composite mechanical properties, and chemical composition with secondary tests, including cementitious composite durability properties, microstructural characterization, and free MgO content.",94,OpenAlex,https://www.mdpi.com/2076-3417/10/22/8210/pdf?version=1605802846,https://openalex.org/W3108865991,4,OpenAlex,"""carbonated steel slag"" ""supplementary cementitious material""|""high gravity"" carbonation steel slag|""high-gravity carbonation"" ""BOF slag""|""high-gravity carbonation"" steel slag",A|E,碳化固废辅助胶凝材料|超重力碳化固废,"""carbonated steel slag"" ""supplementary cementitious material""|""high gravity"" carbonation steel slag|""high-gravity carbonation"" ""BOF slag""|""high-gravity carbonation"" steel slag",94,OpenAlex
A|D|E,CO2养护与碳化混凝土|碳化固废辅助胶凝材料|超重力碳化固废,"""BOF slag"" ""CO2 sequestration""|""carbonated slag"" cementitious material|""carbonated steel slag"" cement|""carbonation curing"" recycled aggregate concrete|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high-gravity carbonation"" ""BOF slag""|""high-gravity carbonation"" steel slag",Evaluation of Potential Factors Affecting Steel Slag Carbonation,2023,Amer Baras; Jiajie Li; Wen Ni; Zahid Hussain; Michael Hitch,Processes,10.3390/pr11092590,https://doi.org/10.3390/pr11092590,"Steel slag is a solid waste product generated during the carbonation stage of steelmaking. It has high levels of heavy metals and substantial amounts of free calcium and magnesium oxide, making it unsuitable for use as a cement material. Furthermore, the disposal of steel slag in landfills requires many resources and can seriously contaminate the surrounding environment. One method of reducing its negative environmental impact is carbonation, which involves reacting steel slag with carbon dioxide to form stable minerals. However, many parameters influence the carbonation efficiency of steelmaking slag, including temperature, time, particle size, pressure, CO2 concentration, liquid-to-solid ratio, moisture content, humidity, additives, etc. To this end, this paper comprehensively reviews the most important steel slag carbonation-influencing factors. Moreover, it compares the characteristics from two perspectives based on their causes and effects on carbonation. Finally, this article reviews earlier studies to identify the factors that affect steel slag carbonation and the potential of carbonated steel slag as a sustainable construction material. Based on previous research, it systematically examines all the elements for future work that need to be improved.",64,OpenAlex,https://www.mdpi.com/2227-9717/11/9/2590/pdf?version=1693302366,https://openalex.org/W4386256528,8,OpenAlex,"""BOF slag"" ""CO2 sequestration""|""carbonated slag"" cementitious material|""carbonated steel slag"" cement|""carbonation curing"" recycled aggregate concrete|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high-gravity carbonation"" ""BOF slag""|""high-gravity carbonation"" steel slag",A|D|E,CO2养护与碳化混凝土|碳化固废辅助胶凝材料|超重力碳化固废,"""BOF slag"" ""CO2 sequestration""|""carbonated slag"" cementitious material|""carbonated steel slag"" cement|""carbonation curing"" recycled aggregate concrete|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high-gravity carbonation"" ""BOF slag""|""high-gravity carbonation"" steel slag",64,OpenAlex
A|F,旋转填充床与传质强化|超重力碳化固废,"""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag",Nucleation and growth kinetics of CaCO3 crystals in the presence of foreign monovalent ions,2021,Freddy Liendo; Mara Arduino; Fabio Alessandro Deorsola; Samir Bensaid,Journal of Crystal Growth,10.1016/j.jcrysgro.2021.126406,https://doi.org/10.1016/j.jcrysgro.2021.126406,"The aim of this work is to study the effect of the presence of different monovalent ions (Na+, NH4+ and K+) on the nucleation and growth rates of CaCO3 precipitation. There is currently great interest in the precipitation of CaCO3 particles reusing CO2 rich flue gases and calcium-rich wastes, which implies the presence of foreign ions that can affect the crystallization process. Unseeded and seeded tests were carried out in a batch system to estimate the nucleation and growth kinetics, respectively. Tests with Na2CO3 and CaCl2 as precursors led to the classical calcite crystallization mechanism via vaterite formation at high supersaturations. On the other hand, the use of (NH4)2CO3 entailed lower pH and the presence of NH4+, which stabilized the vaterite and avoided its transformation into stable calcite crystals. Thus, faster nucleation kinetics by using Na2CO3 were obtained. To estimate the growth rate, tests with two initial seed loadings and types (micro and nano seed) were performed. The growth rate increased with the crystal size and decreased with the magma density. The results indicate that the ion effect on the growth rate seems to be related to the ionic radius of the foreign ion.",74,OpenAlex,https://ars.els-cdn.com/content/image/1-s2.0-S002202482100381X-ga1_lrg.jpg,https://openalex.org/W3210861078,3,OpenAlex,"""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag",A|F,旋转填充床与传质强化|超重力碳化固废,"""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag",74,OpenAlex
A|E|F,旋转填充床与传质强化|碳化固废辅助胶凝材料|超重力碳化固废,"""carbonated slag"" cementitious material|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""mineral carbonation"" ""cement replacement""|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""rotating packed bed"" reactive crystallization|""steel slag"" ""CO2 mineralization""",Co-treatment of Waste From Steelmaking Processes: Steel Slag-Based Carbon Capture and Storage by Mineralization,2020,Qing Zhao; Xinyi Chu; Xiaohui Mei; Qingzhang Meng; Jingyu Li; Chengjun Liu; Henrik Saxén; Ron Zevenhoven,Frontiers in Chemistry,10.3389/fchem.2020.571504,https://doi.org/10.3389/fchem.2020.571504,"Iron and steel industry is an energy-intensive sector, and large amounts of wastes/ by-products are generated during the steelmaking process, such as CO2, metallurgical slag, and wastewater. Enhancing the development and deployment of treating wastes from the steelmaking process will be environment friendly and resource-saving. Capturing CO2 by steel slag (SS) via mineralization is regarded to be an excellent choice since the high basicity of the slag. In this paper, recent research on the steel slag-based carbon capture and storage (SS-CCS) by mineralization was summarized. Three routes of SS-CCS are compared being, direct gas-solid carbonation, direct aqueous carbonation, and indirect carbonation, respectively. Furthermore, the challenges and prospects of the further development of the SS-CCS were discussed.",51,OpenAlex,https://www.frontiersin.org/articles/10.3389/fchem.2020.571504/pdf,https://openalex.org/W3104345211,11,OpenAlex|Semantic Scholar,"""carbonated slag"" cementitious material|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""mineral carbonation"" ""cement replacement""|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""rotating packed bed"" reactive crystallization|""steel slag"" ""CO2 mineralization""",A|E|F,旋转填充床与传质强化|碳化固废辅助胶凝材料|超重力碳化固废,"""carbonated slag"" cementitious material|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""mineral carbonation"" ""cement replacement""|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""rotating packed bed"" reactive crystallization|""steel slag"" ""CO2 mineralization""",51,OpenAlex
